window_start,window_end,dataset_source,number_of_flows,mean_flow_duration,mean_dst_port,total_packets,total_bytes,mean_iat_variance,mean_flow_byts_s,mean_flow_pkts_s,mean_down_up_ratio,mean_fin_flag_cnt,mean_syn_flag_cnt,mean_rst_flag_cnt,mean_psh_flag_cnt,mean_ack_flag_cnt,mean_urg_flag_cnt,mean_cwe_flag_count,mean_ece_flag_cnt,mean_init_fwd_win_byts,mean_init_bwd_win_byts,target_next_window
2018-02-03 01:00:00,2018-02-03 01:01:00,CIC,1525,9559732.331803279,11347.743606557377,13348.0,1420036.0,6876679882856.864,182621.64326962136,26056.804124076225,0.34885245901639345,0.005901639344262295,0.015081967213114755,0.3501639344262295,0.49311475409836064,0.41442622950819674,0.04262295081967213,0.0,0.3501639344262295,7598.67737704918,14239.606557377048,1
2018-02-03 01:01:00,2018-02-03 01:02:00,CIC,1628,7558521.837837838,9496.130835380836,13009.0,2182166.0,4324016183305.983,480140.42264401854,42462.62164875102,0.3538083538083538,0.007985257985257985,0.06326781326781326,0.343980343980344,0.4907862407862408,0.4023341523341523,0.019656019656019656,0.0,0.343980343980344,7429.478501228501,14290.004914004914,1
2018-02-03 01:02:00,2018-02-03 01:03:00,CIC,1897,11909692.266736953,7206.706905640485,29241.0,15280014.0,9628841183573.494,105932.40232078164,8516.606027663895,0.43595150237216657,0.0031628887717448603,0.021085925144965736,0.30205587770163417,0.503953610964681,0.286768581971534,0.005271481286241434,0.0,0.30205587770163417,7810.048497627833,13384.357406431207,1
2018-02-03 01:03:00,2018-02-03 01:04:00,CIC,2246,13782466.143365985,7093.494657168299,21621.0,4535123.0,6630030815068.668,95081.86068032826,7390.331020303587,0.45547640249332144,0.003116651825467498,0.015583259127337488,0.27025823686553874,0.4772929652715939,0.2680320569902048,0.030276046304541407,0.0,0.27025823686553874,7022.277827248442,12850.924755120213,1
2018-02-03 01:04:00,2018-02-03 01:05:00,CIC,1513,9666860.687376074,8768.942498347653,17201.0,3580360.0,4275639244893.0044,133297.5646479367,11347.350374295202,0.33773959021810973,0.005287508261731659,0.015862524785194978,0.4058162590879048,0.5809649702577661,0.34831460674157305,0.020489094514210177,0.0,0.4058162590879048,8942.848645076008,20345.067415730337,1
2018-02-03 01:05:00,2018-02-03 01:06:00,CIC,1351,8115765.141376758,10701.162102146558,10834.0,1240157.0,2173018319478.5515,166134.6077713869,20646.677727354767,0.34122871946706146,0.0044411547002220575,0.02146558105107328,0.39748334566987414,0.5655070318282753,0.41080680977054035,0.03256846780162842,0.0,0.39748334566987414,8465.294596595115,16846.58401184308,1
2018-02-03 01:06:00,2018-02-03 01:07:00,CIC,2065,11394129.201937046,7719.908474576271,20132.0,4016836.0,5343358715577.175,141509.04214482216,23053.8510553317,0.4687651331719128,0.001937046004842615,0.04019370460048426,0.2179176755447942,0.45811138014527847,0.3525423728813559,0.024697336561743343,0.0,0.2179176755447942,7124.269733656174,10235.497820823244,1
2018-02-03 01:07:00,2018-02-03 01:08:00,CIC,1493,8126961.158740791,7441.52913596785,10992.0,1292619.0,4749291607165.127,160042.01739031373,12500.523602173342,0.3945077026121902,0.003348961821835231,0.008707300736771601,0.29872739450770264,0.5304755525787006,0.3985264567983925,0.013395847287340924,0.0,0.29872739450770264,7956.008707300737,11756.873409243135,1
2018-02-03 01:08:00,2018-02-03 01:09:00,CIC,2020,8723497.093564356,6417.180693069307,17454.0,2203757.0,5994291786594.258,217483.28982304374,14856.237142544805,0.44356435643564357,0.0014851485148514852,0.011386138613861386,0.2301980198019802,0.5064356435643564,0.36633663366336633,0.009900990099009901,0.0,0.2301980198019802,7587.134158415842,10149.682673267327,1
2018-02-03 01:09:00,2018-02-03 01:10:00,CIC,1332,9781880.50900901,9977.725975975976,10263.0,1225627.0,1592259818675.8848,305540.5002025966,27136.901642074117,0.3415915915915916,0.0015015015015015015,0.02927927927927928,0.36036036036036034,0.5427927927927928,0.40615615615615613,0.023273273273273273,0.0,0.36036036036036034,8737.64114114114,16317.933183183182,1
