split,row_index,flow_state_number_of_flows,flow_state_mean_dst_port,flow_state_mean_flow_duration,flow_state_mean_total_packets,flow_state_total_packets,flow_state_mean_total_bytes,flow_state_total_bytes,flow_state_mean_source_bytes,flow_state_source_bytes,flow_state_mean_iat_variance,flow_state_mean_s_tos,flow_state_mean_d_tos,attack_probability,model_logit
train,0,-0.42670554052556187,2.198114365936203,-1.1249851954086352,14.222433795802443,3.5842792601155486,11.624681090356484,2.832895653165988,18.86809057141344,5.861217550156758,-0.13244280550892,-7.975670312313722,-1.5733407339778012,0.05747264,-2.797256
train,1,1.661688198777724,2.1101663719604704,-1.1249921685908326,0.5597581342001344,1.3759869593677811,-0.0813517190190756,0.11151148199718336,0.03104506835447098,0.19634345489202462,-0.13244280550892,3.7866087093255842,-0.048303464465429644,0.038587157,-3.2154844
train,2,1.2864280375862935,2.4710527569961758,-1.125012138292044,0.22721216291806717,0.6553991129735948,0.1703058803701588,0.3980414059372037,-0.074776031525713,-0.023375549927578846,-0.13244280550892,-1.1811441640004472,9.890501312463407,0.008199229,-4.795482
train,3,1.4488613798490768,1.724440163770506,-1.1250421590104154,-0.12635282323473498,0.20044888471328917,-0.208696825648621,-0.10315076862032849,-0.07923559500528654,-0.024848647449752813,-0.13244280550892,-1.4457278968704537,0.11020156655578825,0.07042364,-2.5802
train,4,1.4177935568560445,1.184263693367291,-1.125046072427579,-0.15300485697634736,0.1537434156712978,-0.15936543247825546,-0.03437895578440301,-0.08770574639095577,-0.040764290774098814,-0.13244280550892,-1.921283691324344,1.7817060833696212,0.012942311,-4.3342266
train,5,1.2355453038654216,1.3424618409792797,-1.125042600778587,-0.12362975795180735,0.15437872112354,-0.14061423167486548,-0.026236356362230213,-0.08553314334765998,-0.04265449275131172,-0.13244280550892,-0.7695407415107502,2.0777148575407156,0.013941361,-4.258856
train,6,1.4985209709324279,1.4255393189680625,-1.1250529462310817,0.13595641460393626,0.614302002659013,0.196416829605528,0.5004867221540185,-0.07977588477633739,-0.024034284285243235,-0.13244280550892,-1.253595862243745,-0.4773638294712756,0.035230808,-3.309968
train,7,1.2213568492701785,1.5429845776497715,-1.1250504648497277,-0.24404026044785165,-0.011646367955463824,-0.20703783911514886,-0.11446680184922428,-0.09269603331166182,-0.05451557891794361,-0.13244280550892,-1.4584189946288573,-1.5733407339778012,0.034506474,-3.3314924
train,8,1.256338728703278,1.2264654886762645,-1.1250520028878321,2.831811017712453,4.220472457062541,2.515680928008179,3.5051780994120456,0.0399235910571404,0.16139529463012559,-0.13244280550892,-0.93228279107778,3.846109890691024,0.027732443,-3.557028
train,9,1.2008080529598264,1.027910579309795,-1.1250533098515625,-0.14639542459069804,0.11575972280479045,-0.11600955016596293,0.00202114247790878,-0.05800727143322226,-0.0002978529256053469,-0.13244280550892,-0.853306624939411,-0.3301094966608831,0.009655556,-4.6305194
