timestamp,window_end,ground_truth_label,ground_truth_attack_type,ground_truth_source
2011-08-10T09:04:00+00:00,2011-08-10T09:05:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:06:00+00:00,2011-08-10T09:07:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:07:00+00:00,2011-08-10T09:08:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:08:00+00:00,2011-08-10T09:09:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:09:00+00:00,2011-08-10T09:10:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:10:00+00:00,2011-08-10T09:11:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:11:00+00:00,2011-08-10T09:12:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:12:00+00:00,2011-08-10T09:13:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:13:00+00:00,2011-08-10T09:14:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:14:00+00:00,2011-08-10T09:15:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:15:00+00:00,2011-08-10T09:16:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:16:00+00:00,2011-08-10T09:17:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:17:00+00:00,2011-08-10T09:18:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:18:00+00:00,2011-08-10T09:19:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:19:00+00:00,2011-08-10T09:20:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:20:00+00:00,2011-08-10T09:21:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:21:00+00:00,2011-08-10T09:22:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:22:00+00:00,2011-08-10T09:23:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:23:00+00:00,2011-08-10T09:24:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:24:00+00:00,2011-08-10T09:25:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:25:00+00:00,2011-08-10T09:26:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:26:00+00:00,2011-08-10T09:27:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:27:00+00:00,2011-08-10T09:28:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:28:00+00:00,2011-08-10T09:29:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:29:00+00:00,2011-08-10T09:30:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:30:00+00:00,2011-08-10T09:31:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:31:00+00:00,2011-08-10T09:32:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:32:00+00:00,2011-08-10T09:33:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
2011-08-10T09:33:00+00:00,2011-08-10T09:34:00+00:00,BOTNET,NERIS_BOTNET,CTU-13 official documentation: Botnet-42 PCAP is botnet capture only
